Candidate ID,DOJ Extended,Duration to Accept Offer,Notice Period,Offered Band,Percentage Hike Expected,Percentage Hike Offered,Joining Bonus,Gender,Candidate Source,Relevant Experience,Line of Business,Date of Birth,Joining Location,Candidate Relocation Status,HR Status
10001,TRUE,7,66,C4,32,10,FALSE,Male,Direct,1,Finance,06-11-2019,Paris,FALSE,Joined
10002,TRUE,8,19,C3,49,45,FALSE,Female,Employee Referral,18,Sales,13-05-2018,New York,FALSE,Joined
10003,TRUE,4,36,C3,41,38,FALSE,Male,Agency,5,Finance,25-11-2016,New York,FALSE,Not Joined
10004,TRUE,8,37,C5,22,33,TRUE,Male,Employee Referral,3,Sales,07-05-2016,Tokyo,TRUE,Joined
10005,FALSE,3,39,C3,31,39,TRUE,Male,Agency,15,Marketing,11-12-2013,London,TRUE,Not Joined
10006,FALSE,21,71,C1,46,10,FALSE,Female,Direct,5,IT,28-07-2009,New York,FALSE,Joined
10007,FALSE,2,85,C2,28,35,TRUE,Male,Employee Referral,6,Sales,19-11-2014,Tokyo,FALSE,Joined
10008,TRUE,27,43,C6,10,15,TRUE,Male,Direct,17,IT,21-03-2010,San Francisco,TRUE,Not Joined
10009,TRUE,14,46,C4,38,37,TRUE,Male,Agency,2,Marketing,15-06-2017,San Francisco,TRUE,Joined
10010,TRUE,28,25,C3,19,26,TRUE,Male,Agency,3,HR,07-09-2008,Paris,TRUE,Joined
10011,TRUE,9,68,C3,33,42,TRUE,Female,Agency,2,Finance,29-08-2018,New York,TRUE,Joined
10012,FALSE,18,60,C4,26,19,FALSE,Male,Agency,16,Marketing,09-06-2020,San Francisco,TRUE,Not Joined
10013,TRUE,21,60,C6,15,49,FALSE,Male,Direct,1,Finance,17-08-2019,Paris,FALSE,Not Joined
10014,FALSE,19,25,C0,15,13,TRUE,Male,Direct,17,Sales,20-06-2017,Paris,TRUE,Not Joined
10015,TRUE,8,34,C1,40,47,FALSE,Male,Agency,2,HR,26-09-2016,London,FALSE,Joined
10016,TRUE,29,32,C6,43,18,FALSE,Female,Employee Referral,17,HR,14-03-2011,London,TRUE,Not Joined
10017,FALSE,10,89,C6,46,48,FALSE,Female,Agency,6,Finance,05-12-2010,New York,TRUE,Not Joined
10018,TRUE,5,27,C2,47,34,TRUE,Female,Agency,3,IT,23-08-2011,Tokyo,FALSE,Joined
10019,TRUE,15,68,C3,48,49,FALSE,Male,Agency,8,IT,21-05-2008,Paris,FALSE,Not Joined
10020,TRUE,12,53,C2,34,17,FALSE,Male,Employee Referral,6,IT,14-10-2019,San Francisco,TRUE,Joined
10021,FALSE,25,82,C0,42,34,FALSE,Male,Employee Referral,5,HR,30-09-2010,Paris,TRUE,Joined
10022,FALSE,20,60,C6,29,16,TRUE,Male,Agency,16,IT,26-08-2008,San Francisco,FALSE,Not Joined
10023,TRUE,2,43,C2,29,18,FALSE,Male,Employee Referral,16,IT,19-03-2010,Tokyo,TRUE,Joined
10024,TRUE,11,79,C3,16,13,TRUE,Female,Direct,10,IT,12-03-2011,Paris,FALSE,Not Joined
10025,FALSE,27,78,C6,15,37,FALSE,Female,Agency,15,Sales,22-12-2010,San Francisco,TRUE,Not Joined
10026,FALSE,9,46,C1,34,47,TRUE,Female,Agency,10,Sales,05-01-2019,Tokyo,FALSE,Not Joined
10027,TRUE,26,51,C6,19,26,FALSE,Female,Direct,18,HR,26-10-2020,Paris,FALSE,Not Joined
10028,FALSE,15,85,C5,38,31,FALSE,Male,Direct,18,HR,14-08-2020,London,FALSE,Not Joined
10029,TRUE,5,30,C1,17,14,FALSE,Female,Agency,10,Finance,25-02-2019,San Francisco,FALSE,Joined
10030,FALSE,20,30,C3,18,36,TRUE,Female,Agency,12,Marketing,28-07-2019,Paris,TRUE,Joined
10031,TRUE,10,39,C0,15,25,FALSE,Male,Employee Referral,18,Sales,21-08-2017,San Francisco,FALSE,Not Joined
10032,FALSE,9,20,C6,44,36,FALSE,Male,Agency,3,Finance,24-11-2015,Paris,TRUE,Joined
10033,FALSE,29,24,C2,25,49,FALSE,Male,Employee Referral,19,Marketing,11-02-2011,London,TRUE,Joined
10034,FALSE,8,39,C5,49,39,TRUE,Female,Employee Referral,5,Sales,08-05-2012,Paris,FALSE,Joined
10035,FALSE,8,27,C6,20,40,TRUE,Female,Employee Referral,10,IT,06-08-2009,Paris,FALSE,Joined
10036,TRUE,1,54,C6,14,21,FALSE,Male,Direct,10,Sales,19-12-2010,New York,TRUE,Joined
10037,FALSE,13,79,C2,31,23,FALSE,Male,Agency,12,Finance,05-12-2014,New York,FALSE,Joined
10038,FALSE,26,52,C0,49,43,FALSE,Female,Employee Referral,6,Marketing,27-11-2019,Paris,FALSE,Joined
10039,TRUE,21,23,C3,40,21,TRUE,Female,Employee Referral,13,Sales,25-03-2016,Paris,FALSE,Joined
10040,TRUE,10,74,C6,33,32,TRUE,Female,Direct,9,Sales,23-03-2008,Tokyo,TRUE,Not Joined
10041,TRUE,6,54,C5,41,11,TRUE,Male,Agency,2,Finance,22-03-2016,San Francisco,FALSE,Joined
10042,TRUE,10,61,C4,31,19,FALSE,Male,Direct,19,HR,27-08-2013,San Francisco,TRUE,Joined
10043,FALSE,1,31,C3,47,41,TRUE,Male,Agency,17,Marketing,26-04-2020,San Francisco,FALSE,Not Joined
10044,FALSE,18,59,C5,29,33,FALSE,Female,Employee Referral,17,Sales,03-11-2019,London,TRUE,Joined
10045,FALSE,10,60,C6,37,42,FALSE,Male,Employee Referral,8,Sales,04-09-2020,London,TRUE,Joined
10046,FALSE,15,33,C4,19,17,TRUE,Female,Employee Referral,10,Finance,14-11-2009,London,FALSE,Joined
10047,TRUE,2,23,C0,17,15,FALSE,Female,Direct,10,Sales,20-10-2009,New York,TRUE,Not Joined
10048,TRUE,3,81,C3,16,29,TRUE,Female,Agency,3,Finance,25-11-2019,New York,TRUE,Not Joined
10049,FALSE,5,39,C2,30,46,TRUE,Male,Direct,19,IT,24-09-2008,London,TRUE,Joined
10050,TRUE,2,72,C0,12,44,TRUE,Female,Employee Referral,18,IT,14-08-2010,San Francisco,FALSE,Joined
10051,FALSE,12,62,C6,47,20,FALSE,Male,Direct,14,Marketing,08-07-2012,San Francisco,FALSE,Joined
10052,FALSE,29,89,C1,25,38,TRUE,Female,Employee Referral,18,IT,28-06-2008,London,FALSE,Joined
10053,FALSE,1,45,C6,33,26,TRUE,Female,Direct,19,Finance,14-01-2020,Tokyo,TRUE,Not Joined
10054,FALSE,5,24,C6,46,47,FALSE,Female,Employee Referral,13,Finance,16-02-2015,New York,TRUE,Joined
